0.880300	-1.567663	-0.640100	3.000000	0.000000	0.000000	5.000000	0.000000	v
0.900300	-2.666630	-1.780100	7.450012	1.000000	0.000000	1.459999	2.000000	v
0.940300	-3.137662	-2.560100	0.450000	0.000000	0.000000	0.360000	0.000000	v
3.280300	-2.867663	-2.440100	2.000000	0.000000	0.000000	1.000000	0.000000	v
-1.980300	-3.267663	-3.440100	1.500000	0.000000	0.000000	1.000000	0.000000	v
-1.180300	-2.267663	-1.440100	1.000000	0.000000	0.000000	1.000000	0.000000	v
0.489699	-3.287661	-2.580101	-5.500003	0.000000	0.000000	1.400000	0.000000	v
0.980300	-3.967663	-3.440100	2.000000	0.000000	0.000000	0.500000	0.000000	v
0.080300	0.367663	1.440100	1.000000	0.000000	0.000000	1.000000	0.000000	a
0.080300	-1.367663	2.640100	1.000000	0.000000	0.000000	1.000000	0.000000	a
-1.980300	-0.967663	1.040100	2.500000	0.000000	0.000000	1.000000	0.000000	a
0.530000	-3.609997	-1.409999	0.500000	0.000000	0.000000	1.899999	0.000000	v
